"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Led_AvenidaSiburu1409","","","","San Clemente","","","-30.761083","-57.987117"
"Led_AvenidaSiburu1215","","","","San Clemente","","","-30.762397","-57.985582"
"Led_AvenidaSiburu1032","","","","San Clemente","","","-30.763263","-57.984617"
"Led_AvenidaHipolitoYrigoyen3356","","","","San Clemente","","","-30.764038","-57.984322"
"Led_AvenidaHipolitoYrigoyen3408","","","","San Clemente","","","-30.764384","-57.984756"
"Led_AvenidaHipolitoYrigoyen3746","","","","San Clemente","","","-30.766329","-57.987052"
"Led_AvenidaHipolitoYrigoyen3816","","","","San Clemente","","","-30.766748","-57.987514"
"Led_AvenidaAlem1322","","","","San Clemente","","","-30.765757","-57.991113"
"Led_AvenidaAlem1612","","","","San Clemente","","","-30.763835","-57.993345"
"Led_Mendoza1078","","","","San Clemente","","","-30.764596","-57.991317"
"Led_Chaco1033","","","","San Clemente","","","-30.766555","-57.987605"
"Led_Chaco1325","","","","San Clemente","","","-30.764646","-57.989858"
"Led_Chaco1513","","","","San Clemente","","","-30.763383","-57.991338"
"Led_SantaFe1119","","","","San Clemente","","","-30.765435","-57.987637"
"Led_SantaFe1423","","","","San Clemente","","","-30.763416","-57.989954"
"Led_SantaFe1517","","","","San Clemente","","","-30.762784","-57.990641"
"Led_SanLuis1035","","","","San Clemente","","","-30.765393","-57.986264"
"Led_SanLuis1321","","","","San Clemente","","","-30.763499","-57.988485"
"Led_SanLuis1421","","","","San Clemente","","","-30.762826","-57.989278"
"Led_SanLuis1527","","","","San Clemente","","","-30.762157","-57.990019"
"Led_Antartida1031","","","","San Clemente","","","-30.764826","-57.985582"
"Led_Antartida1519","","","","San Clemente","","","-30.761572","-57.989327"
"Led_Cordoba1119","","","","San Clemente","","","-30.763632","-57.98555"
"Led_Cordoba1425","","","","San Clemente","","","-30.76159","-57.987927"
